机构名称,机构类型,地址,电话,评分,营业时间,经度,纬度,城市,区县,POI_ID,数据来源
北京合嘉心理咨询中心,心理咨询中心,花园北路35号院健康智谷大厦三层,13511046725,4.5,09:00-18:00,116.366106,39.982504,北京市,海淀区,B0K24L9ZE7,试点地区搜索
观心心理咨询中心,心理咨询中心,北京城区中关村南大街甲18号院D座2层201,18910369344,4.2,,116.325176,39.953727,北京市,海淀区,B0LRTD9KEQ,试点地区搜索
一束光心理事务所,其他,三间房南里4号院dream2049文创园B08,13391927050;18519748606,4.3,09:00-17:00,116.573533,39.911948,北京市,朝阳区,B0FFH1XJPV,试点地区搜索
大儒心理,其他,中关村互联网教育创新中心B座1011A,13522966274,4.4,09:00-20:00,116.317489,39.983790,北京市,海淀区,B0GRHPPKL3,试点地区搜索
翰德林北京正念中心,其他,后现代城B区4号楼A座13层,15600558828,4.1,,116.483456,39.900135,北京市,朝阳区,B0FFL02B55,试点地区搜索
观心实验室·心理咨询(三元桥店),心理咨询中心,凤凰置地广场H座12层(三元桥地铁站E2口步行220米),15321820895,4.3,09:00-24:00,116.457837,39.963236,北京市,朝阳区,B0LUR7508B,试点地区搜索
燕园博思心理咨询中心(北京总部),心理咨询中心,北三环西路48号院1号楼B座8G室,010-82623416;13126822629;4009998486,4.3,08:30-20:30,116.324785,39.966436,北京市,海淀区,B0IRH5TFN7,试点地区搜索
惟塔之光·心愈空间(SKP华贸店),其他,北京城区华贸公寓16号楼305,15010198965,4.2,10:30-19:00,116.481926,39.911422,北京市,朝阳区,B0LGRCE029,试点地区搜索
雨天晴心理咨询(西直门店),心理咨询中心,新兴东巷15号金泰鑫侨大厦501室,,4.1,,116.349053,39.941376,北京市,西城区,B0LAZ5XWD0,试点地区搜索
北京潘家园心理咨询中心,心理咨询中心,北京城区华威西里55号,15313017036,4.2,08:00-17:00,116.451103,39.871957,北京市,朝阳区,B0L3RHOOCB,试点地区搜索
心理晴心理咨询(亦庄店),心理咨询中心,亦庄力宝广场5号楼702(万源街地铁站A1北口步行380米),13001933893,4.0,09:30-21:30,116.502649,39.805320,北京市,大兴区,B0JG9C6S49,试点地区搜索
北京瑞京糖尿病医院,其他,石榴园南里15号(石榴庄地铁站C东南口步行150米),010-88229999,,07:30-17:00,116.415180,39.844313,北京市,丰台区,B0FFGMW2G8,试点地区搜索
北京西京中医医院,其他,丰管路16号1号楼,4006464315,,08:00-17:00,116.312035,39.856025,北京市,丰台区,B0FFGP7QBQ,试点地区搜索
北京京师中医医院,其他,北京城区团结湖北三条甲4号东院,13810837730,,08:00-17:00,116.469248,39.932689,北京市,朝阳区,B000A8U4EA,试点地区搜索
北京国仁中医医院,其他,成寿寺路威仪路5号,13311256084,,08:00-22:00,116.444585,39.841783,北京市,朝阳区,B0FFIANXGZ,试点地区搜索
金智·慢课堂专业儿童青少年心理咨询中心,心理咨询中心,中央城4号院1号楼801室,,,09:00-21:00,116.211625,39.765575,北京市,房山区,B0LD14I0AH,试点地区搜索
有光心理咨询中心(望京店),心理咨询中心,朝庭公寓2号楼E座22C2203号(望京南地铁站A西北口步行490米),13552964726,4.0,10:00-21:30,116.483660,39.988208,北京市,朝阳区,B0GKSNF698,试点地区搜索
元和心语.心理咨询中心,心理咨询中心,清河营东路2号院乐想汇2号楼507室,18511746672,4.0,10:00-21:00,116.438325,40.050675,北京市,朝阳区,B0KUZR9ZUO,试点地区搜索
北京壹心理心乐土心理咨询中心,心理咨询中心,建外街道12层1211(大望路地铁站C西南口步行200米),13121712780;17702089563,4.0,09:00-20:00,116.474832,39.907337,北京市,朝阳区,B0KA3ZITBE,试点地区搜索
好心情心理咨询中心(回龙观店),心理咨询中心,昌平路380号院40号楼1至2层7单元102,010-56107482,4.2,09:00-18:00,116.334465,40.067537,北京市,昌平区,B0HA6N57AV,试点地区搜索
坚果心理儿童青少年心理咨询,心理咨询中心,国贸建外SOHO东区7号楼602室,13552420385,4.0,09:00-21:00,116.458166,39.904963,北京市,朝阳区,B0H1T7L0ZV,试点地区搜索
乐享安心心身训练基地,其他,东坝中路美捷PARK6号楼,15701322684,4.3,09:00-21:00,116.541990,39.953149,北京市,朝阳区,B0L2VH7ZAO,试点地区搜索
简单森林心理健康中心(丽都中心),心理咨询中心,将台路甲2号金尚·丽F2层,010-84176727,4.2,09:00-20:00,116.481314,39.977379,北京市,朝阳区,B0HAUARL0V,试点地区搜索
青少年近视防治与干预中心,其他,潞邑西路6号院8-5-6,13146581986;15326774439,,09:00-21:00,116.691395,39.936119,北京市,通州区,B0GKN46DXW,试点地区搜索
星启教育·语言康复·感统训练·自闭症干预中心,其他,角门北路8号正旗大厦,,3.5,,116.381969,39.849977,北京市,丰台区,B0LA7GKV5C,试点地区搜索
首都医科大学附属北京妇产医院东院儿童健康中心儿保干预门诊,三甲医院,姚家园路251号北京妇产医院门诊楼4层儿童健康中心,,,,116.470623,39.930927,北京市,朝阳区,B0FFLOWVX7,试点地区搜索
儿童发育评估干预中心,其他,南礼士路与南礼士路头条交叉口南80米,,,,116.352443,39.908737,北京市,西城区,B0LUSUZF2C,试点地区搜索
六月花儿童干预中心(店),其他,靓景名居怡乐园三区甲20号,13261188818,,,116.638627,39.882992,北京市,通州区,B0JAZKXNGQ,试点地区搜索
门头沟区社会心理干预中心,其他,西山燕庐西区北门东280米,,,,116.126325,39.901925,北京市,门头沟区,B0L3ASUXFA,试点地区搜索
阳光语言矫正·感统·注意力干预中心(望京分院),其他,北京城区南湖西园205号楼1-2层,010-89177820,4.6,,116.456775,39.996724,北京市,朝阳区,B0KARAD69U,试点地区搜索
启萌教育·语言发育迟缓·感统训练·孤独症干预训练中心,其他,大台子路9号商业用房2层205,010-67565354,4.2,,116.364752,39.837696,北京市,丰台区,B0H2FHMIO9,试点地区搜索
北京春暖自闭症干预.发育迟缓训练.言语康复.感统训练中心,其他,北三环西路乙49号(苏州桥地铁站B口步行400米),18610856534,4.9,08:00-22:10,116.312994,39.964512,北京市,海淀区,B0J0UZXIBF,试点地区搜索
lyh儿童早期干预,其他,京榆旧线与潞苑西路交叉口东南340米,,2.6,,116.671097,39.925178,北京市,通州区,B0K1OKXV5J,试点地区搜索
家庭干预亲子农场,其他,苏家坨镇西埠头村东,13701184323,3.7,,116.129320,40.080854,北京市,海淀区,B0KDC9IXE6,试点地区搜索
天津市安定医院,精神专科医院,柳林街道柳林路13号(柳林路地铁站C口步行250米),022-88188289;022-88188881,,08:30-16:30,117.283492,39.074964,天津市,河西区,B0FFFE4IJ0,试点地区搜索
天津市安定医院住院部,精神专科医院,柳林街道柳林路13号天津市安定医院,,,,117.283793,39.074793,天津市,河西区,B0K6AMEWT9,试点地区搜索
天津市安宁医院,其他,永平巷20号(张贵庄地铁站C口步行370米),022-24390664;022-24958547,,24小时营业,117.312968,39.092729,天津市,东丽区,B001605201,试点地区搜索
滨海新区塘沽安定医院,精神专科医院,胡家园街海兴路149号,022-66891284,,08:00-16:30,117.577362,39.030006,天津市,滨海新区,B0FFHHATFD,试点地区搜索
天津圣安医院,其他,紫金山路36号,022-24419922;022-88253311,,24小时营业,117.192740,39.085236,天津市,河西区,B0FFHWU6NU,试点地区搜索
天津西青保康精神病医院,其他,中北镇中北大道与永旺路交口,022-60976625,,,117.059757,39.122299,天津市,西青区,B0FFI65T87,试点地区搜索
天津市宝坻区精神卫生中心,精神专科医院,东环路与通唐公路交叉口北300米,,,,117.361847,39.716769,天津市,宝坻区,B0FFF4N4M4,试点地区搜索
天津市蓟州区安定医院,精神专科医院,克黄线与七里峰路交叉口东340米,022-22896855,,08:00-05:00,117.460551,40.053047,天津市,蓟州区,B0FFHJL9V2,试点地区搜索
天津市蓟州区精神卫生中心,精神专科医院,喜邦线,,,,117.460756,40.052767,天津市,蓟州区,B0FFKO0IOX,试点地区搜索
佶安医院,其他,陈咀镇梅石路与武静线交汇处(原盛达广场),022-22137669,,08:30-17:30,117.009239,39.296010,天津市,武清区,B0FFJTG7ID,试点地区搜索
天津武清区精神卫生中心,精神专科医院,梅石路与石陈路交叉口东100米盛达广场附近,,,,117.009467,39.296368,天津市,武清区,B0FFK2NQA6,试点地区搜索
天津市河西区精神卫生中心,精神专科医院,郁江道71号,,,,117.216219,39.073641,天津市,河西区,B0HG4HSC8A,试点地区搜索
神经病学中心,其他,东二经路天津市第四中心医院(北站地铁站D2口步行350米),,,,117.209117,39.163098,天津市,河北区,B0HDHNCK13,试点地区搜索
天津市精神卫生中心-心理门诊,精神专科医院,柳林路13号天津安定医院内(柳林路地铁站C口步行460米),,,,117.283887,39.075599,天津市,河西区,B00161C88C,试点地区搜索
河西区社区精神卫生管理服务中心,其他,郁江道与友谊南路辅路交叉口东140米,,,,117.216334,39.073618,天津市,河西区,B0GR91SAL6,试点地区搜索
天津市精神卫生中心-急诊部,精神专科医院,柳林路13号(柳林路地铁站C口步行400米),,,,117.283752,39.074778,天津市,河西区,B0016199Y4,试点地区搜索
天津河东津民医院(龙潭路院区),其他,龙潭路中山门西里1号,13163184580,,08:00-17:30,117.256538,39.105557,天津市,河东区,B0KUBUYZHF,试点地区搜索
天津圣安医院(总院),其他,郁江道71号,022-24415278;022-88251166,,09:00-18:00,117.216433,39.073454,天津市,河西区,B0016114CW,试点地区搜索
天津国泰医院,其他,宁园街金钟河大街海达明园509号,15302091058,,08:00-17:30,117.221295,39.158131,天津市,河北区,B00160ED8T,试点地区搜索
中医心理专科,其他,凯兴天宝公寓南区北1门旁,,,,117.160004,39.130863,天津市,南开区,B0FFFPT8A2,试点地区搜索
天津天铁河东医院精神心理科,其他,广宁路64号,,,,117.265930,39.100493,天津市,河东区,B0L3L5PI1O,试点地区搜索
天津南开华仁医院精神科,其他,玉泉路96号,17822451203,,08:00-18:00,117.168042,39.115580,天津市,南开区,B0HGA504TN,试点地区搜索
天津圣安米悦心理咨询中心,心理咨询中心,五大道街南京路181号世纪都会商厦903室,18522472509,4.7,09:00-18:00,117.199222,39.117451,天津市,和平区,B0FFIGGV2M,试点地区搜索
圣安米悦心理咨询中心(梅江中心大厦店),心理咨询中心,梅江中心大厦12层1204号,18522472509,4.4,09:00-17:00,117.219762,39.041273,天津市,河西区,B0KDKMLPF8,试点地区搜索
观心实验室 ·心理咨询(仁恒国际店),心理咨询中心,东马路129号仁恒置地国际中心14层,18917856728,4.3,09:00-19:00,117.191118,39.140771,天津市,南开区,B0LUV5D8Z2,试点地区搜索
天津圣安心理咨询中心,心理咨询中心,紫金山路36号,18322771416,4.6,24小时营业,117.192560,39.085006,天津市,河西区,B0K117TSNV,试点地区搜索
心知识心理健康中心,心理咨询中心,洞庭路与怒江道交口西北侧美年广场2-1512,18920856679,4.2,09:00-18:00,117.249681,39.074354,天津市,河西区,B0LBFRU4UU,试点地区搜索
家安心理咨询中心,心理咨询中心,郭庄子姚台大街12号,15510972824,4.4,24小时营业,117.205902,39.141486,天津市,河东区,B0L1SUQ0SW,试点地区搜索
赛智心理咨询,心理咨询中心,天津市南开区中南道南侧中南广场(东区)2号楼-3-1204,022-87766808;18630890588,4.2,09:30-20:30,117.148402,39.109784,天津市,南开区,B0GK9UP26Q,试点地区搜索
梵音心空间·心理咨询工作室,心理咨询中心,中海寰宇天下6号楼3门801(复兴门地铁站B口步行500米),13132244914;13241447267,4.0,09:00-21:00,117.257470,39.077661,天津市,河西区,B0K0VSIVQ8,试点地区搜索
天津华仁心理咨询,心理咨询中心,城厢西路与鼓楼西街交口西北侧天越园12号楼2门1103,18522910036,4.2,24小时营业,117.174689,39.143551,天津市,南开区,B0LA3SDR7K,试点地区搜索
一念唤醒心理咨询,心理咨询中心,光复路24号创新中心A座309,18611687133,3.9,10:00-18:00,117.199924,39.139152,天津市,河北区,B0LBHU12PJ,试点地区搜索
康美慧心理咨询,心理咨询中心,广厦南里中区23号别墅(云砚路店),022-24301782;16602697538,4.0,07:30-20:00,117.055374,39.369317,天津市,武清区,B0G33R063X,试点地区搜索
原初心理工作室,其他,雅润路海棠众创大街A区心智计算2楼,4000400991,3.9,09:00-18:00,117.368707,38.981439,天津市,津南区,B0KGLCXRFE,试点地区搜索
朗世心理咨询,心理咨询中心,中新生态城万科锦庐32-2502,13034339913;13043214139,3.6,10:00-20:00,117.744087,39.119792,天津市,滨海新区,B0HR9C7NKO,试点地区搜索
天津好心情心理中心(天津巨贝大厦店),其他,劝业场街南京路258号翰石巨贝大厦A324A325A326单元,,4.0,09:00-21:00,117.184199,39.121124,天津市,和平区,B0JADZDMOF,试点地区搜索
朗世心理咨询,心理咨询中心,第二大街泰达国际公寓(泰达会馆旁),13034339913;13043214139,3.8,06:30-24:00,117.685815,39.030106,天津市,滨海新区,B0I2OZNSA1,试点地区搜索
润物心理咨询中心(河西店),心理咨询中心,观塘大厦,18222729850,3.7,09:00-18:00,117.246865,39.074593,天津市,河西区,B0G0R484W2,试点地区搜索
听心教育心理咨询,心理咨询中心,北京商会大厦B座30层(西南角地铁站B口步行310米),18522868098,4.1,07:00-23:00,117.168286,39.137797,天津市,南开区,B0G2KDQZZQ,试点地区搜索
启恒心理咨询,心理咨询中心,金海园北区底商S-61启恒心理咨询,022-68770922;16602654366,4.1,24小时营业,116.968806,38.934758,天津市,静海区,B0GUZ5F5EM,试点地区搜索
好心情青少年心理咨询,心理咨询中心,劝业场街道南京路258号巨贝大厦A座,15330079295,3.9,09:00-18:00,117.184211,39.121087,天津市,和平区,B0LUPA1YHU,试点地区搜索
和煦堂心理咨询中心,心理咨询中心,团泊镇团泊湖庭院依湖院20号楼,13212250717;16602222889,4.1,09:00-17:00,117.152407,38.908433,天津市,静海区,B0JUYLTUYI,试点地区搜索
壹棵树心理咨询室,心理咨询中心,新汇广场三层,15332062030,3.7,08:30-19:30,117.134140,39.233798,天津市,北辰区,B0I0RZPXLZ,试点地区搜索
依莫心理咨询室,心理咨询中心,融创中心中南广场西区1号楼927,13672165416,3.7,09:00-18:00,117.147317,39.109835,天津市,南开区,B0LAAZML94,试点地区搜索
笑如心理咨询,心理咨询中心,汇金中心一号楼65-1,13114989839,3.5,08:00-20:00,117.204357,39.128985,天津市,和平区,B0LD7P0FKV,试点地区搜索
观山海科学疗愈工作室,其他,大华锦绣华城二期锦辰园1-2-1802,13021364478,3.6,09:00-20:00,117.077060,39.217440,天津市,北辰区,B0LDP51DJZ,试点地区搜索
天津市红桥区心境心理咨询工作室,心理咨询中心,睦华里14号楼1门103号,18526123366,3.5,09:00-22:00,117.156913,39.143237,天津市,红桥区,B0H26AYHH4,试点地区搜索
天津皮肤病医院,其他,津滨大道143号,13752062628,,09:00-17:00,117.281842,39.120408,天津市,东丽区,B0LRC4DPMK,试点地区搜索
天津博寿堂中医医院,其他,幽州路175号(滨海名都东门),15620371929,,08:00-12:00 13:30-17:30,117.659502,39.045164,天津市,滨海新区,B001612AXQ,试点地区搜索
天津市滨海新区大港伊心园心理咨询中心,心理咨询中心,大港街道世纪大道88号新天地大厦901室,18630903261,3.6,09:00-19:00,117.461844,38.844990,天津市,滨海新区,B0IUJCL1HM,试点地区搜索
姬昌心理咨询中心,心理咨询中心,花样年喜年广场4号楼911(解放南路地铁站C口步行260米),15320161259;18622250870,3.6,09:00-15:00,117.232272,39.042863,天津市,河西区,B0FFMESFAJ,试点地区搜索
天津心理咨询康复中心,心理咨询中心,南京路与合肥道交叉口南40米(徐州道地铁站A口步行220米),,1.8,,117.217775,39.112975,天津市,河西区,B0I1CM78F1,试点地区搜索
恒辉心理咨询中心,心理咨询中心,崔黄口地毯商贸城17号楼8门,13920612628,4.4,08:00-12:00,117.195830,39.524651,天津市,武清区,B0HRJRP8RK,试点地区搜索
天津市河西区青少年心理健康指导中心,心理咨询中心,郁江道69号,18322771416,4.4,08:00-17:00,117.216338,39.073625,天津市,河西区,B0KB1UBQVM,试点地区搜索
奇诺心理咨询中心,心理咨询中心,小站镇迎新村商贸一路14号,13389582207,3.6,08:00-22:00,117.436627,38.903867,天津市,津南区,B0KKA7IIQC,试点地区搜索
榕舍•心居,其他,天津市乐谷商务中心A座1305室,18920898878,3.4,09:00-18:00,117.148741,39.120479,天津市,南开区,B0L6XU3ONW,试点地区搜索
白云智慧心理服务中心,其他,中新生态城天和新乐汇4号楼510室,022-67138841;13116144134,3.6,08:30-17:30,117.745909,39.120299,天津市,滨海新区,B0GDLKFCX1,试点地区搜索
和平区心理健康体验中心,心理咨询中心,新华路12号,,4.3,,117.195281,39.127764,天津市,和平区,B0HA7PZDYB,试点地区搜索
Kara自然疗愈空间,其他,滨海华贸中心4楼422,18622058323,3.8,,117.670993,39.000263,天津市,滨海新区,B0KKAUT6EK,试点地区搜索
静鑫心理咨询中心,心理咨询中心,希望路与新兴北道交叉口东北50米,15822310720,3.4,,117.503202,38.737335,天津市,滨海新区,B0FFLA199A,试点地区搜索
天津壹朵云心理健康中心,心理咨询中心,西青道65号金兴科技大厦1507,18822170605,3.6,,117.155628,39.154949,天津市,红桥区,B0LUR54B5O,试点地区搜索
伊悦心理咨询中心,心理咨询中心,体育场路与机场道交叉口西南40米,13820517921,3.3,,117.078872,39.383917,天津市,武清区,B0FFKWVUD3,试点地区搜索
思腾孤独症干预语言发育迟缓感统训练康复中心,其他,黑牛城道辅路与太湖路交叉口西120米,,,,117.234375,39.080475,天津市,河西区,B0I1BPPDO2,试点地区搜索
天津市民营企业危机管理服务联席会议办公室,其他,花园路9号(和平路地铁站D口步行320米),,,,117.205608,39.124436,天津市,和平区,B00160EDW5,试点地区搜索
今日·疼痛干预中心,其他,南城街与城厢东路交叉口西北220米,,,,117.183711,39.139821,天津市,南开区,B0LG31FH97,试点地区搜索
危机四伏,其他,汉北路269号天津泰达航母主题公园(东南角),022-67288899,3.7,,117.812716,39.156093,天津市,滨海新区,B0FFG1Z952,试点地区搜索
